Word,Year,Frequency
with,1841,15
been,1841,15
been,1846,14
very,1862,14
with,1850,13
with,1846,13
with,1809,13
left,1840,11
about,1846,11
weak,1862,11
very,1841,11
fever,1841,11
with,1840,10
which,1840,10
pain,1850,10
with,1857,10
History,1862,10
admission,1862,10
Patient,1862,10
Pulse,1809,10
April,1862,10
were,1840,9
July,1846,9
upon,1846,9
with,1862,9
from,1856,9
June,1856,9
been,1856,9
with,1844,9
from,1840,8
wound,1857,8
been,1862,8
Bowels,1862,8
well,1862,8
abdomen,1841,8
much,1841,8
side,1840,7
been,1850,7
left,1846,7
pain,1846,7
Discharged,1846,7
above,1850,7
about,1857,7
last,1862,7
some,1862,7
Admitted,1849,7
with,1849,7
above,1849,7
Treatment,1849,7
pain,1841,7
Pulse,1841,7
Attending,1846,7
Physician,1846,7
pain,1856,7
side,1855,6
pains,1855,6
small,1840,6
found,1840,6
about,1840,6
blood,1840,6
very,1850,6
Pain,1850,6
some,1850,6
much,1850,6
Patient,1850,6
Ireland,1846,6
Admitted,1846,6
Treatment,1846,6
since,1846,6
months,1846,6
days,1846,6
parts,1850,6
limb,1850,6
Treatment,1857,6
right,1857,6
tongue,1862,6
appetite,1862,6
bowels,1862,6
loose,1862,6
still,1862,6
pain,1862,6
night,1862,6
cough,1862,6
Patient,1849,6
Continues,1809,6
Tongue,1841,6
Bowels,1841,6
quite,1841,6
very,1846,6
night,1856,6
July,1856,6
pain,1844,6
cough,1855,5
July,1855,5
pulse,1840,5
part,1840,5
severe,1837,5
which,1850,5
July,1850,5
from,1850,5
from,1846,5
before,1846,5
years,1846,5
about,1850,5
Patient,1854,5
about,1854,5
ankle,1854,5
Treat,1854,5
Patient,1857,5
considerable,1857,5
left,1857,5
regular,1862,5
treatment,1862,5
back,1862,5
pulse,1862,5
July,1849,5
June,1849,5
which,1849,5
been,1849,5
into,1809,5
from,1809,5
night,1809,5
improve,1809,5
pills,1809,5
Case,1841,5
since,1841,5
which,1841,5
Skin,1841,5
Johnston,1846,5
John,1846,5
much,1846,5
heart,1846,5
natural,1846,5
Cured,1856,5
left,1855,4
joints,1855,4
Tongue,1855,4
June,1855,4
Ward,1840,4
Ireland,1840,4
right,1840,4
pericardium,1840,4
patient,1840,4
bone,1840,4
brain,1840,4
about,1837,4
Stupor,1837,4
more,1850,4
constant,1850,4
back,1850,4
left,1850,4
neck,1850,4
limbs,1850,4
right,1846,4
weeks,1846,4
four,1846,4
this,1846,4
that,1846,4
also,1846,4
head,1846,4
part,1846,4
admission,1846,4
wound,1850,4
same,1850,4
also,1850,4
bone,1857,4
There,1857,4
part,1857,4
Wound,1857,4
over,1857,4
down,1857,4
iliac,1857,4
fossa,1857,4
since,1862,4
smooth,1862,4
poor,1862,4
viii,1862,4
Continue,1862,4
quite,1862,4
good,1862,4
Pulse,1862,4
caught,1862,4
cold,1862,4
right,1862,4
about,1862,4
July,1862,4
being,1849,4
Cured,1849,4
from,1849,4
days,1849,4
about,1849,4
three,1849,4
York,1809,4
Symptoms,1809,4
symptoms,1809,4
were,1809,4
quantity,1809,4
frequent,1809,4
other,1809,4
very,1809,4
rapid,1809,4
skin,1809,4
diet,1809,4
more,1809,4
every,1809,4
entered,1841,4
lower,1841,4
open,1841,4
firm,1841,4
taken,1841,4
severe,1841,4
about,1841,4
night,1841,4
followed,1841,4
headache,1841,4
feeble,1841,4
black,1841,4
reddish,1841,4
there,1846,4
four,1856,4
which,1856,4
last,1856,4
pulse,1856,4
today,1856,4
Patient,1856,4
June,1862,4
Ordered,1862,4
left,1862,4
Phthisis,1862,4
days,1844,4
which,1844,4
still,1844,4
from,1844,4
been,1844,4
this,1844,4
been,1847,3
skin,1847,3
right,1855,3
cured,1855,3
with,1855,3
alkaline,1855,3
Bowels,1855,3
pulse,1855,3
Case,1840,3
into,1840,3
applied,1840,3
ribs,1840,3
some,1840,3
just,1840,3
much,1840,3
through,1840,3
also,1840,3
head,1840,3
great,1840,3
after,1840,3
scalp,1840,3
Ireland,1837,3
from,1837,3
July,1837,3
open,1837,3
same,1837,3
side,1850,3
gone,1850,3
Discharged,1850,3
cured,1850,3
four,1850,3
days,1850,3
since,1850,3
general,1850,3
health,1850,3
patient,1850,3
freely,1850,3
June,1850,3
became,1850,3
middle,1850,3
less,1850,3
before,1850,3
head,1850,3
over,1850,3
which,1846,3
There,1846,3
patient,1846,3
injured,1846,3
some,1846,3
complains,1846,3
whole,1846,3
slight,1846,3
Sept,1846,3
fracture,1846,3
hours,1846,3
machinery,1846,3
have,1846,3
over,1846,3
under,1850,3
whole,1850,3
sloughy,1850,3
right,1850,3
considerable,1850,3
removed,1850,3
joint,1850,3
left,1854,3
Treatment,1854,3
which,1854,3
case,1857,3
just,1857,3
Ireland,1857,3
above,1857,3
fracture,1857,3
removed,1857,3
back,1857,3
from,1857,3
Decubitus,1857,3
which,1857,3
patient,1857,3
pain,1857,3
there,1857,3
other,1857,3
Beef,1862,3
wine,1862,3
Better,1862,3
better,1862,3
improving,1862,3
pains,1862,3
sick,1862,3
time,1862,3
before,1862,3
Treatment,1862,3
Rheumatism,1862,3
continue,1862,3
taking,1862,3
ordered,1862,3
also,1862,3
Bismuth,1862,3
morph,1862,3
Discharged,1849,3
swelling,1849,3
bone,1849,3
inclined,1849,3
plane,1849,3
removed,1849,3
20th,1849,3
Also,1849,3
testicle,1849,3
apii,1849,3
over,1849,3
Quin,1849,3
times,1849,3
aged,1809,3
admitted,1809,3
previous,1809,3
pain,1809,3
directed,1809,3
which,1809,3
18th,1809,3
hundred,1809,3
milk,1809,3
25th,1809,3
less,1809,3
take,1809,3
30th,1809,3
generally,1809,3
about,1809,3
side,1809,3
yellowness,1809,3
appetite,1809,3
four,1809,3
being,1809,3
each,1809,3
size,1809,3
some,1809,3
weeks,1841,3
part,1841,3
fluid,1841,3
times,1841,3
full,1841,3
pills,1841,3
Calomel,1841,3
more,1841,3
delirious,1841,3
last,1841,3
days,1841,3
rather,1841,3
moist,1841,3
tenderness,1841,3
Quinine,1841,3
sick,1841,3
side,1841,3
Seaman,1846,3
Surgical,1846,3
Transferred,1846,3
cough,1846,3
night,1846,3
better,1846,3
improving,1846,3
after,1846,3
knees,1846,3
large,1846,3
pains,1846,3
pulse,1846,3
blood,1846,3
more,1846,3
were,1846,3
tongue,1846,3
rheumatism,1846,3
about,1856,3
pains,1856,3
Tongue,1856,3
Sailor,1856,3
five,1856,3
days,1856,3
sailing,1856,3
with,1856,3
still,1856,3
Smith,1856,3
passages,1856,3
since,1856,3
chest,1862,3
March,1862,3
15th,1862,3
Pneumonia,1862,3
Discharged,1844,3
skin,1844,3
pulse,1844,3
soft,1844,3
white,1844,3
coat,1844,3
moist,1844,3
weeks,1844,3
heart,1844,3
About,1844,3
Attending,1847,2
Physician,1847,2
Ireland,1847,2
Single,1847,2
America,1847,2
pain,1847,2
pulse,1847,2
tongue,1847,2
edges,1847,2
bowels,1847,2
there,1847,2
about,1847,2
Discharged,1847,2
Cured,1847,2
taken,1847,2
moist,1847,2
five,1855,2
weeks,1855,2
without,1855,2
stitch,1855,2
help,1855,2
than,1855,2
them,1855,2
fuller,1855,2
attacked,1855,2
rheumatic,1855,2
character,1855,2
generally,1855,2
painful,1855,2
coated,1855,2
attack,1855,2
every,1855,2
Urine,1855,2
acid,1855,2
from,1855,2
Pains,1855,2
three,1855,2
moist,1855,2
brownish,1855,2
heard,1855,2
over,1855,2
lung,1855,2
since,1855,2
Cured,1855,2
week,1855,2
Labourer,1840,2
Native,1840,2
pulseless,1840,2
large,1840,2
little,1840,2
hour,1840,2
began,1840,2
very,1840,2
lingered,1840,2
opening,1840,2
several,1840,2
inch,1840,2
tissue,1840,2
that,1840,2
contact,1840,2
this,1840,2
whole,1840,2
stomach,1840,2
colon,1840,2
intestines,1840,2
smaller,1840,2
existed,1840,2
other,1840,2
received,1840,2
before,1840,2
skull,1840,2
clavicle,1840,2
fracture,1840,2
injury,1840,2
admission,1840,2
frequent,1840,2
bleed,1840,2
became,1840,2
23rd,1840,2
condition,1840,2
removed,1840,2
below,1840,2
extravasation,1840,2
between,1840,2
over,1840,2
base,1840,2
ulcers,1840,2
skin,1840,2
Ward,1837,2
Hospital,1837,2
months,1837,2
since,1837,2
tongue,1837,2
coated,1837,2
with,1837,2
yellow,1837,2
frequent,1837,2
Bowels,1837,2
Skin,1837,2
still,1837,2
delirious,1837,2
Tongue,1837,2
white,1837,2
more,1837,2
slight,1837,2
subsultus,1837,2
treatment,1837,2
cough,1837,2
bowels,1837,2
pain,1837,2
Ireland,1850,2
than,1850,2
says,1850,2
troubled,1850,2
water,1850,2
taken,1850,2
just,1850,2
aggravated,1850,2
ever,1850,2
disappeared,1850,2
during,1850,2
29th,1850,2
Seaman,1850,2
bowels,1850,2
admission,1850,2
well,1850,2
except,1850,2
strength,1850,2
Chronic,1850,2
15th,1850,2
America,1850,2
years,1850,2
began,1850,2
severe,1850,2
